티커,종목,시장
001130,대한제분,STK
439260,대한조선,STK
003490,대한항공,STK
003495,대한항공우,STK
005880,대한해운,STK
003830,대한화섬,STK
016090,대현,STK
069460,대호에이엘,STK
021040,대호특수강,KSQ
021045,대호특수강우,KSQ
067080,대화제약,KSQ
298540,더네이쳐홀딩스,KSQ
032860,더라미,KSQ
475560,더본코리아,STK
192080,더블유게임즈,STK
393890,더블유씨피,KSQ
299170,더블유에스아이,KSQ
462860,더즌,KSQ
224060,더코디,KSQ
302920,더콘텐츠온,KNX
403850,더핑크퐁컴퍼니,KSQ
213420,덕산네오룩스,KSQ
317330,덕산테코피아,KSQ
077360,덕산하이메탈,KSQ
004830,덕성,STK
004835,덕성우,STK
090410,덕신이피씨,KSQ
0001A0,덕양에너젠,KSQ
263600,덕우전자,KSQ
194480,데브시스터즈,KSQ
373160,데이원컴퍼니,KSQ
263800,데이타솔루션,KSQ
199150,데이터스트림즈,KNX
206560,덱스터,KSQ
261200,덴티스,KSQ
145720,덴티움,STK
227420,도부,KNX
484120,도우인시스,KSQ
067990,도이치모터스,KSQ
002150,도화엔지니어링,STK
006620,동구바이오제약,KSQ
100130,동국S&C,KSQ
005160,동국산업,KSQ
303810,동국생명과학,KSQ
460850,동국씨엠,STK
075970,동국알앤에스,KSQ
460860,동국제강,STK
086450,동국제약,KSQ
001230,동국홀딩스,STK
023450,동남합성,STK
004140,동방,STK
240550,동방메디컬,KSQ
099410,동방선기,KSQ
007590,동방아그로,STK
005960,동부건설,STK
005965,동부건설우,STK
026960,동서,STK
002210,동성제약,STK
102260,동성케미컬,STK
033500,동성화인텍,KSQ
025950,동신건설,KSQ
000640,동아쏘시오홀딩스,STK
170900,동아에스티,STK
088130,동아엘텍,KSQ
028100,동아지질,STK
001520,동양,STK
001527,동양2우B,STK
084670,동양고속,STK
082640,동양생명,STK
060380,동양에스텍,KSQ
001525,동양우,STK
079960,동양이엔피,KSQ
228340,동양파일,KSQ
088910,동우팜투테이블,KSQ
094170,동운아나텍,KSQ
013120,동원개발,KSQ
018500,동원모빌리티,STK
006040,동원산업,STK
030720,동원수산,STK
014820,동원시스템즈,STK
014825,동원시스템즈우,STK
111380,동인기연,STK
163560,동일고무벨트,STK
109860,동일금속,KSQ
032960,동일기연,KSQ
004890,동일산업,STK
023790,동일스틸럭스,KSQ
002690,동일제강,STK
005290,동진쎄미켐,KSQ
025900,동화기업,KSQ
000020,동화약품,STK
000150,두산,STK
000157,두산2우B,STK
454910,두산로보틱스,STK
241560,두산밥캣,STK
034020,두산에너빌리티,STK
000155,두산우,STK
131970,두산테스나,KSQ
336260,두산퓨얼셀,STK
33626K,두산퓨얼셀1우,STK
33626L,두산퓨얼셀2우B,STK
016740,두올,STK
073190,듀오백,KSQ
176750,듀켐바이오,KSQ
030350,드래곤플라이,KSQ
203650,드림시큐리티,KSQ
223250,드림씨아이에스,KSQ
060570,드림어스컴퍼니,KSQ
362990,드림인사이트,KSQ
192650,드림텍,STK
016670,디모아,KSQ
187870,디바이스,KSQ
489730,디비금융제13호스팩,KSQ
0004Y0,디비금융제14호스팩,KSQ
024090,디씨엠,STK
003160,디아이,STK
092200,디아이씨,STK
110990,디아이티,KSQ
263690,디알젬,KSQ
214680,디알텍,KSQ
347850,디앤디파마텍,KSQ
377190,디앤디플랫폼리츠,STK
263720,디앤씨미디어,KSQ
376300,디어유,KSQ
104040,디에스엠,KSQ
109740,디에스케이,KSQ
031860,디에이치엑스컴퍼니,KSQ
196490,디에이테크놀로지,KSQ
066900,디에이피,KSQ
092070,디엔에프,KSQ
039840,디오,KSQ
013570,디와이,STK
024900,디와이덕양,STK
219550,디와이디,KSQ
310870,디와이씨,KSQ
002880,디와이에이,STK
210540,디와이파워,STK
104460,디와이피엔에프,KSQ
113810,디젠스,KSQ
043360,디지아이,KSQ
197140,디지캡,KSQ
068930,디지털대성,KSQ
033130,디지틀조선,KSQ
105740,디케이락,KSQ
263020,디케이앤디,KSQ
290550,디케이티,KSQ
066670,디티씨,KSQ
187220,디티앤씨,KSQ
383930,디티앤씨알오,KSQ
131180,딜리,KSQ
483350,딜리셔스,KSQ
315640,딥노이드,KSQ
900110,딥커머스,KSQ
317120,라닉스,KSQ
462510,라메디텍,KSQ
232680,라온로보틱스,KSQ
042510,라온시큐어,KSQ
418420,라온텍,KSQ
300120,라온피플,KSQ
171120,라이온켐텍,KSQ
388790,라이콤,KSQ
214260,라파스,KSQ
403360,라피치,KNX
171010,램테크놀러지,KSQ
084650,랩지노믹스,KSQ
217500,러셀,KSQ
092590,럭스피아,KNX
266170,레드우즈,KNX
038390,레드캡투어,KSQ
387690,레메디,KSQ
294140,레몬,KSQ
365660,레몬헬스케어,KSQ
443250,레뷰코퍼레이션,KSQ
228670,레이,KSQ
228850,레이언스,KSQ
412350,레이저쎌,KSQ
199550,레이저옵텍,KSQ
281740,레이크머티리얼즈,KSQ
277810,레인보우로보틱스,KSQ
215100,로보로보,KSQ
090360,로보스타,KSQ
108490,로보티즈,KSQ
900260,로스웰,KSQ
033290,로젠,KSQ
223220,로지스몬,KNX
067730,로지시스,KSQ
071280,로체시스템즈,KSQ
376900,로킷헬스케어,KSQ
214610,롤링스톤,KSQ
032350,롯데관광개발,STK
089860,롯데렌탈,STK
330590,롯데리츠,STK
000400,롯데손해보험,STK
023530,롯데쇼핑,STK
020150,롯데에너지머티리얼즈,STK
280360,롯데웰푸드,STK
286940,롯데이노베이트,STK
004000,롯데정밀화학,STK
004990,롯데지주,STK
00499K,롯데지주우,STK
005300,롯데칠성,STK
005305,롯데칠성우,STK
011170,롯데케미칼,STK
071840,롯데하이마트,STK
328130,루닛,KSQ
038060,루멘스,KSQ
474170,루미르,KSQ
162120,루켄테크놀러지스,KNX
195990,루트K,KSQ
253610,루트락,KNX
141080,리가켐바이오,KSQ
058470,리노공업,KSQ
016100,리더스코스메틱,KSQ
012700,리드코프,KSQ
302550,리메드,KSQ
491000,리브스메드,KSQ
394420,리센스메디컬,KSQ
073570,리튬포어스,KSQ
377450,리파인,KSQ
277070,린드먼아시아,KSQ
042500,링네트,KSQ
193250,링크드,KSQ
474650,링크솔루션,KSQ
219420,링크제니시스,KSQ
439090,마녀공장,KSQ
027740,마니커,STK
195500,마니커에프앤지,KSQ
357430,마스턴프리미어리츠,STK
377480,마음AI,KSQ
305090,마이크로디지탈,KSQ
448780,마이크로엔엑스,KNX
098120,마이크로컨텍솔,KSQ
424980,마이크로투나노,KSQ
038290,마크로젠,KSQ
477850,마키나락스,KSQ
001080,만호제강,STK
0039P0,매드업,KSQ
267980,매일유업,KSQ
005990,매일홀딩스,KSQ
093520,매커스,KSQ
088980,맥쿼리인프라,STK
094800,맵스리얼티,STK
179720,머니무브,KNX
100590,머큐리,KSQ
067280,멀티캠퍼스,KSQ
072870,메가스터디,KSQ
215200,메가스터디교육,KSQ
133750,메가엠디,KSQ
446540,메가터치,KSQ
235980,메드팩토,KSQ
200580,메디쎄이,KNX
041920,메디아나,KSQ
233250,메디안디노스틱,KNX
014100,메디앙스,KSQ
236340,메디젠휴먼케어,KNX
054180,메디콕스,KSQ
086900,메디톡스,KSQ
078160,메디포스트,KSQ
138040,메리츠금융지주,STK
0088D0,메리츠제1호스팩,KSQ
0165X0,메리츠제2호스팩,KSQ
408920,메쎄이상,KSQ
021880,메이슨캐피탈,KSQ
0088M0,메쥬,KSQ
140410,메지온,KSQ
241770,메카로,KSQ
090370,메타랩스,STK
059210,메타바이오메드,KSQ
118000,메타케어,STK
058110,멕아이씨에스,KSQ
072770,멤레이비티,KSQ
017180,명문제약,STK
009900,명신산업,STK
317450,명인제약,STK
012690,모나리자,STK
005360,모나미,STK
070960,모나용평,STK
434480,모니터랩,KSQ
080420,모다이노칩,KSQ
417970,모델솔루션,KSQ
080160,모두투어,KSQ
087260,모바일어플라이언스,KSQ
101330,모베이스,KSQ
012860,모베이스전자,KSQ
363260,모비데이즈,KSQ
348030,모비릭스,KSQ
250060,모비스,KSQ
288980,모아데이타,KSQ
142760,모아라이프플러스,KSQ
033200,모아텍,KSQ
009680,모토닉,STK
118990,모트렉스,KSQ
463480,모티브링크,KSQ
006920,모헨즈,KSQ
009580,무림P&P,STK
001810,무림SP,KSQ
009200,무림페이퍼,STK
322970,무진메디,KNX
033920,무학,STK
008420,문배철강,STK
279600,미디어젠,KSQ
095500,미래나노텍,KSQ
254490,미래반도체,KSQ
025560,미래산업,STK
218150,미래생명자원,KSQ
007120,미래아이앤지,STK
396690,미래에셋글로벌리츠,STK
357250,미래에셋맵스리츠,STK
100790,미래에셋벤처투자,KSQ
0097F0,미래에셋비전스팩10호,KSQ
